person_id_random,gender,fb_friend_count,current_home_years,living_situation,current_job_years,education,outstanding_loan,use_mobile_wallet_how_often,relationship_status,Age,job_status,annual_wages
8548843141,0,786.687690743,3.24217961655,0,0.0,0,0,3,0,26.0,0,284415.299555
5334896838,0,557.0,3.24217961655,0,0.0,0,0,0,0,34.0,0,284415.299555
4656062708,0,308.0,3.24217961655,0,0.0,0,0,3,0,41.0,0,284415.299555
2283557917,1,115.0,5.0,0,0.0,0,0,2,0,29.0,0,550000.0
8449258035,1,473.0,3.0,0,0.0,0,0,2,0,26.0,0,284415.299555
2287514871,0,1168.0,2.0,0,0.0,0,0,2,0,31.5720207254,0,330000.0
4017268696,0,925.0,1.0,0,0.0,0,0,1,0,31.0,0,165000.0
5585643436,1,465.0,1.0,0,3.0,0,1,1,0,26.0,1,440000.0
4239791639,1,65.0,4.0,0,4.0,0,0,1,0,31.5720207254,1,88000.0
3585535472,0,839.0,2.0,0,1.0,0,0,1,0,40.0,1,360000.0
3342477379,1,636.0,4.0,0,6.0,0,0,1,0,35.0,1,330000.0
5346231779,1,412.0,2.0,0,5.0,0,0,2,0,29.0,1,288000.0
1341618714,1,3283.0,0.0,0,2.0,0,0,1,0,31.5720207254,1,165000.0
6891187473,0,122.0,0.0,0,5.0,0,0,1,0,31.0,1,284415.299555
9545294644,0,147.0,0.0,0,3.0,0,1,2,0,31.0,1,104500.0
3884829185,1,278.0,5.0,0,3.0,0,0,1,0,31.0,1,440000.0
3422259391,0,392.0,5.0,0,4.0,0,0,1,0,25.0,1,284415.299555
7357826278,0,380.0,4.0,0,6.0,0,0,2,0,31.5720207254,1,660000.0
4342241928,0,142.0,2.0,0,0.0,0,0,1,0,52.0,0,220000.0
2535099359,0,411.0,5.0,0,0.0,0,1,1,0,31.5720207254,0,176000.0
1911454239,1,199.0,4.0,1,0.0,0,0,2,0,30.0,0,284415.299555
3930083269,0,170.0,5.0,0,5.0,0,1,1,0,31.0,1,165000.0
3670141772,1,495.0,4.0,0,0.0,0,0,1,0,21.0,0,120000.0
1817487983,0,707.0,5.0,0,5.0,0,0,2,0,29.0,1,165000.0
3967732927,0,2067.0,5.0,0,0.0,0,1,2,0,27.0,0,550000.0
8521033508,0,277.0,4.0,0,0.0,0,0,1,0,26.0,0,216000.0
5799676461,0,3058.0,4.0,0,6.0,0,1,2,0,31.0,1,550000.0
2528750026,1,1340.0,3.0,0,0.0,0,1,1,0,25.0,0,48000.0
5330295937,0,214.0,5.0,0,4.0,0,0,2,0,33.0,1,284415.299555
4345724251,0,88.0,4.0,0,1.0,0,0,2,0,34.0,1,724350.0
3757970868,0,854.0,2.0,1,2.0,0,0,2,0,22.0,1,284415.299555
2669649960,0,33.0,3.0,0,5.0,0,0,2,0,32.0,1,960000.0
3620626456,0,392.0,3.0,1,5.0,0,0,2,0,24.0,1,284415.299555
5958664143,0,148.0,3.0,0,3.0,0,0,1,0,22.0,1,220000.0
1661102022,1,128.0,4.0,0,4.0,0,0,2,0,30.0,1,840000.0
7777374938,0,49.0,5.0,1,6.0,0,0,2,0,49.0,1,192000.0
5875230942,0,797.0,2.0,0,1.0,0,0,1,0,84.0,1,192000.0
5563120467,0,234.0,4.0,0,4.0,0,0,2,0,34.0,1,240000.0
6551180719,0,739.0,2.0,1,4.0,0,0,1,0,31.5720207254,1,264000.0
4552401360,0,463.0,1.0,0,3.0,0,0,1,0,25.0,1,165000.0
7177006216,1,2564.0,5.0,0,6.0,0,0,2,0,19.0,1,286000.0
1978413484,1,161.0,5.0,0,5.0,0,0,1,0,28.0,1,153600.0
7734209346,0,408.0,2.0,0,6.0,0,1,2,0,43.0,1,284415.299555
3995102460,1,1020.0,2.0,0,6.0,0,1,2,0,34.0,1,330000.0
8994467797,1,662.0,2.0,1,4.0,0,0,2,0,21.0,1,76800.0
6386473095,1,559.0,3.0,0,6.0,0,0,1,0,30.0,1,72000.0
1892163498,0,3454.0,2.0,0,4.0,0,0,2,0,31.5720207254,1,432000.0
1183321030,1,437.0,2.0,0,3.0,0,1,1,0,27.0,1,132000.0
5377931105,0,971.0,2.0,0,2.0,0,1,2,0,22.0,1,240000.0
2358807840,0,984.0,0.0,0,6.0,0,0,2,0,37.0,1,284415.299555
5868139297,0,1458.0,5.0,1,6.0,0,0,1,0,24.0,1,132000.0
1135111501,1,1060.0,1.0,0,2.0,0,1,1,0,20.0,1,284415.299555
6100057929,1,164.0,4.0,0,0.0,0,0,2,0,37.0,0,480000.0
8685630915,1,217.0,0.0,0,2.0,0,0,1,0,20.0,1,48000.0
2683538279,0,616.0,5.0,0,6.0,0,1,1,0,37.0,1,108000.0
9236601044,0,284.0,5.0,0,3.0,0,0,0,0,19.0,1,120000.0
7444746096,0,230.0,1.0,0,1.0,0,0,1,0,20.0,1,120000.0
2668523412,0,1240.0,0.0,0,1.0,0,0,1,0,20.0,1,103200.0
6219345623,1,219.0,3.0,0,4.0,0,1,2,0,38.0,1,220000.0
4105742558,1,374.0,4.0,0,6.0,0,0,0,0,74.0,1,132000.0
8397994357,1,174.0,0.0,0,1.0,0,0,2,0,20.0,1,168000.0
7640935498,0,686.0,1.0,0,2.0,0,1,2,0,30.0,1,330000.0
7125219495,0,820.0,0.0,0,0.0,0,0,1,0,31.5720207254,0,165000.0
3206224066,0,377.0,1.0,0,5.0,0,0,1,0,20.0,1,456000.0
8677322348,0,1045.0,3.0,0,3.0,0,0,1,0,23.0,1,24000.0
1482204423,0,1432.0,2.0,0,2.0,0,1,2,0,31.5720207254,1,110000.0
4530705086,0,423.0,0.0,0,1.0,0,0,2,0,22.0,1,165000.0
5521864872,0,1615.0,1.0,0,2.0,0,0,2,0,19.0,1,72000.0
9401390636,0,474.0,2.0,0,3.0,0,1,1,0,22.0,1,72000.0
7780990687,0,294.0,0.0,0,0.0,0,1,1,0,51.0,0,120000.0
7540101434,0,250.0,5.0,0,5.0,0,0,1,0,21.0,1,134400.0
6526183719,0,786.687690743,3.24217961655,0,0.0,0,0,0,0,82.0,0,284415.299555
4950043625,0,364.0,0.0,0,2.0,0,0,1,0,19.0,1,48000.0
1096962239,0,427.0,0.0,0,0.0,0,1,0,0,31.5720207254,0,284415.299555
8128789355,0,355.0,4.0,0,4.0,0,0,2,0,31.5720207254,1,297000.0
1299427536,1,55.0,5.0,1,4.0,0,0,1,0,63.0,1,240000.0
2916523599,0,89.0,2.0,0,3.0,0,0,1,0,26.0,1,284415.299555
9453964086,1,525.0,2.0,0,3.0,0,0,1,0,21.0,1,165000.0
5482790346,0,435.0,1.0,0,2.0,0,0,1,0,19.0,1,451200.0
9504924784,1,486.0,1.0,1,2.0,0,0,1,0,18.0,1,132000.0
1512836830,1,489.0,5.0,0,3.0,0,1,1,0,31.5720207254,1,319000.0
1612135424,0,810.0,3.0,0,5.0,0,0,1,0,28.0,1,110000.0
3929235228,0,388.0,4.0,0,4.0,0,0,1,0,35.0,1,374000.0
8057731840,1,425.0,1.0,0,0.0,0,1,1,0,21.0,0,33600.0
4966440067,1,247.0,2.0,0,2.0,0,0,1,0,22.0,1,96000.0
5108315568,0,324.0,1.0,0,0.0,0,1,1,0,27.0,0,308000.0
2673538543,0,600.0,3.0,0,2.0,0,0,1,0,28.0,1,484000.0
7777626093,0,605.0,2.0,0,2.0,0,0,1,0,31.5720207254,1,330000.0
3764746080,1,478.0,2.0,0,2.0,0,0,1,0,31.5720207254,1,72000.0
2524200246,1,339.0,0.0,0,0.0,0,1,1,0,25.0,0,49500.0
7717500506,1,482.0,4.0,0,5.0,0,1,1,0,28.0,1,192500.0
4042481303,1,614.0,5.0,0,6.0,0,0,0,0,19.0,1,82500.0
6295166250,0,1361.0,4.0,1,3.0,0,0,0,0,23.0,1,77000.0
8362192538,0,109.0,2.0,0,1.0,0,0,1,0,21.0,1,143000.0
