person_id_random,hasDualSim,hasWlan,hasBluetooth,android_version
8548843141,0.0,1,0,2
5334896838,1.0,0,0,2
4656062708,0.0,1,0,2
2283557917,0.0,1,1,4
8449258035,0.0,1,1,4
4017268696,0.0,1,1,4
5585643436,0.0,1,1,4
4239791639,0.0,0,0,2
3342477379,0.0,1,1,4
5346231779,0.0,0,1,4
3884829185,1.0,1,0,4
7357826278,0.0,1,1,4
3670141772,0.0,1,1,4
1817487983,1.0,1,1,4
8521033508,1.0,1,0,2
5799676461,0.0,0,0,2
2528750026,1.0,1,1,4
5330295937,0.0,1,0,2
7777374938,1.0,0,1,4
4552401360,0.0,0,0,2
7177006216,0.0,1,1,4
1978413484,0.0,1,1,4
7734209346,0.0,1,1,4
3995102460,0.0,1,0,2
6386473095,0.0,1,0,4
1183321030,0.0,1,1,4
5377931105,0.0,1,1,2
2358807840,1.0,1,1,4
5868139297,0.0,1,1,2
6100057929,1.0,1,0,2
2683538279,1.0,1,1,4
9236601044,0.0,0,0,
7444746096,0.0,1,0,2
4105742558,0.0,1,0,2
7640935498,0.0,1,0,2
7125219495,1.0,1,0,4
3206224066,0.0,0,0,2
8677322348,0.0,1,0,2
1482204423,0.0,1,0,2
4530705086,0.0,0,0,2
5521864872,0.0,1,1,4
9401390636,0.0,1,1,4
7780990687,1.0,0,0,2
7540101434,0.0,1,0,2
6526183719,0.0,1,0,2
4950043625,0.0,1,0,2
1096962239,1.0,1,0,2
8128789355,1.0,1,1,4
1299427536,0.0,1,0,2
2916523599,0.0,1,1,4
9453964086,0.0,1,0,2
5482790346,0.0,0,1,2
9504924784,0.0,0,0,2
1512836830,1.0,1,1,4
1612135424,1.0,1,1,4
3929235228,1.0,1,0,2
8057731840,0.0,1,0,2
4966440067,0.0,1,0,2
5108315568,0.0,1,1,4
2673538543,0.0,1,1,4
7777626093,0.0,0,0,2
3764746080,1.0,1,1,4
2524200246,1.0,1,1,4
7717500506,0.0,0,0,2
4042481303,1.0,0,1,4
6295166250,0.0,1,0,2
8362192538,0.0,1,0,2
2381042959,1.0,1,0,2
4421733789,1.0,1,1,4
4943128258,0.0,1,0,2
4088430688,0.0,0,0,2
8806418646,0.0,0,1,4
9725100582,0.0,1,0,2
7801042321,0.0,1,1,4
6297081953,1.0,0,0,4
2063379792,0.0,1,0,4
6133370972,0.0,1,1,4
8763192932,0.0,0,0,2
2662659101,0.0,1,1,4
1537018341,1.0,1,1,4
1957977001,0.0,0,1,4
8719891162,0.0,1,0,2
3577835738,1.0,1,1,4
8425972319,0.0,1,1,4
4002742728,0.0,0,1,4
5825472282,0.0,0,0,2
9504846186,0.0,1,0,2
3225694348,0.0,0,0,2
1177471131,0.0,1,0,2
8406400743,0.0,0,0,2
7234829584,0.0,0,0,4
7284641061,0.0,1,1,4
6897561002,0.0,0,0,2
1090396622,0.0,0,1,4
1516706338,0.0,1,0,4
2830334836,0.0,1,0,2
1316512614,0.0,1,0,2
9046729670,1.0,1,0,2
9193097824,1.0,0,1,4
9513977406,0.0,1,1,4
8296490133,0.0,1,0,2
3624329372,0.0,1,0,2
7537202594,0.0,1,0,2
3565083094,0.0,0,0,2
3294533408,0.0,1,0,2
1983538252,0.0,1,1,4
6130454619,0.0,1,1,4
8948452846,0.0,1,1,4
5534019509,1.0,0,1,4
8470817553,0.0,1,1,4
5638293141,0.0,0,1,4
3219677874,0.0,0,0,4
3584380224,1.0,0,1,4
6845264174,0.0,1,0,2
4146622581,0.0,1,1,4
6461406501,1.0,1,1,4
7585759305,0.0,1,1,4
9553513134,1.0,0,1,4
1782793085,0.0,1,1,4
2515000128,1.0,1,1,4
7152353641,1.0,1,1,4
5095473176,0.0,1,1,4
6620932848,0.0,1,0,2
1775406254,0.0,0,0,4
5359782636,0.0,1,1,4
2151054057,1.0,1,1,4
5777469792,0.0,1,1,4
3110924673,0.0,1,1,4
7664147584,0.0,1,1,4
6268509017,1.0,1,1,4
8141294915,0.0,1,1,2
2278919539,1.0,0,1,4
1672596057,1.0,0,1,4
3939663286,1.0,1,1,4
3435646267,0.0,1,0,2
4167056538,0.0,1,1,4
8165102081,1.0,0,0,4
9854161442,1.0,1,0,4
2552675755,1.0,1,1,4
5826558835,0.0,1,1,4
8082067022,0.0,1,1,4
8092607634,1.0,1,1,2
1280507511,1.0,1,1,4
7378814827,0.0,1,1,4
5309412184,0.0,1,1,4
1459514671,1.0,1,1,4
5085179989,0.0,1,1,4
8845067238,0.0,1,1,4
8392403933,0.0,1,0,2
8839970497,0.0,1,0,2
5916800459,0.0,1,0,4
5255086303,0.0,1,0,2
2693128770,0.0,0,1,4
8041467929,0.0,1,1,4
7549961913,1.0,0,0,2
7093035860,0.0,1,0,2
6456476162,0.0,0,0,2
7318322753,0.0,1,1,4
1654887836,0.0,1,1,4
8540590529,1.0,1,1,4
5120292396,0.0,1,0,2
5647000446,1.0,1,0,2
6525704875,1.0,1,1,4
7958178899,0.0,1,1,4
1868497628,1.0,1,1,4
2612671805,0.0,0,0,2
9047422306,0.0,0,1,4
8751507835,0.0,1,1,4
8210123264,1.0,1,1,4
5248964653,0.0,1,0,2
5810007060,0.0,1,0,2
1832279919,0.0,1,0,2
5476885599,1.0,1,1,4
2876398156,0.0,1,0,2
4198273826,0.0,1,1,4
